source,target,done,0.759574071
Trade ARI/COL 2/29/2016,Kyle Wood,A,
Trade ARI/COL 6/25/2019,Jake Boltmann,x,
Trade ARI/COL 6/25/2019,Kevin Connauton,x,
Trade ARI/COL 6/25/2019,Carl Soderberg,x,
Trade ARI/COL 7/28/2021,Darcy Kuemper,a,
Trade ARI/COL 7/28/2021,Conor Timmins,a,
Trade ARI/COL 7/28/2021,Reid Schaefer,a,
Trade ARI/COL 7/28/2021,Tomas Lavoie,a,
Trade ARI/DAL 3/20/2023,Scott Wedgewood,a,
Trade ARI/DAL 3/20/2023,Jiri Felcman,x,
Trade ARI/DET 11/30/2019,Eric Comrie,a,
Trade ARI/DET 11/30/2019,Vili Saarijarvi,a,
Trade ARI/DET 6/25/2016,Dennis Cholowski,a,
Trade ARI/DET 6/25/2016,Jakob Chychrun,a,
Trade ARI/DET 6/25/2016,Filip Hronek,a,
Trade ARI/DET 6/25/2016,Pavel Datsyuk,A,
Trade ARI/DET 6/25/2016,Joe Vitale,a,
Trade ARI/EDM 3/2/2023,Cam Dineen,a,
Trade ARI/EDM 3/2/2023,Nick Bjugstad,a,
Trade ARI/EDM 3/2/2023,Michael Kesselring,a,
Trade ARI/EDM 3/2/2023,Vadim Moroz,a,
Trade ARI/EDM 3/7/2024,Troy Stecher,a,
Trade ARI/EDM 3/7/2024,Bauer Berry,a,
Trade ARI/EDM 3/7/2024,2027 4th Round (ARI/EDM),a,
Trade ARI/EDM 6/24/2017,Stuart Skinner,a,
Trade ARI/EDM 6/24/2017,Cameron Crotty,a,
Trade ARI/EDM 6/24/2017,Michael Karow,a,
Trade ARI/LAK 2/21/2018,Scott Wedgewood,a,
Trade ARI/LAK 2/21/2018,Darcy Kuemper,a,
Trade ARI/LAK 2/21/2018,Tobias Rieder,A,
Trade ARI/MTL 6/15/2018,Max Domi,a,
Trade ARI/MTL 6/15/2018,Alex Galchenyuk,x,
Trade ARI/MTL 9/4/2021,Christian Dvorak,a,
Trade ARI/MTL 9/4/2021,Alfons Freij,a,
Trade ARI/MTL 9/4/2021,Filip Bystedt,a,
Trade ARI/NJD 12/16/2019,Kevin Bahl,x,
Trade ARI/NJD 12/16/2019,Taylor Hall,x,
Trade ARI/NJD 12/16/2019,Dawson Mercer,x,
Trade ARI/NJD 12/16/2019,Ryder Korczak,x,
Trade ARI/NJD 12/16/2019,Blake Speers,x,
Trade ARI/NJD 12/16/2019,Nick Merkley,x,
Trade ARI/NJD 12/16/2019,Nate Schnarr,x,
Trade ARI/NSH 3/8/2024,Jason Zucker,a,
Trade ARI/NSH 3/8/2024,Ludvig Lafton,a,
Trade ARI/NYI 7/17/2021,JJ Moser,a,
Trade ARI/NYI 7/17/2021,Andrew Ladd,a,
Trade ARI/NYI 7/17/2021,Mattias Havelid,a,
Trade ARI/NYI 7/17/2021,Tanner Ludtke,a,
Trade ARI/NYR 3/1/2015,Tarmo Reunanen,A,
Trade ARI/NYR 3/1/2015,Oliver Kylington,x,
Trade ARI/NYR 3/1/2015,Anthony Duclair,a,
Trade ARI/NYR 3/1/2015,Dennis Cholowski,a,
Trade ARI/NYR 3/1/2015,John Moore,a,
Trade ARI/NYR 3/1/2015,Keith Yandle,a,
Trade ARI/NYR 3/1/2015,Chris Summers,a,
Trade ARI/NYR 7/13/2022,Ty Emberson,a,
Trade ARI/NYR 7/13/2022,Patrik Nemeth,a,
Trade ARI/NYR 7/13/2022,Malcolm Spence,a,
Trade ARI/NYR 7/13/2022,2026 2nd Round (ARI/NYR),a,
Trade ARI/OTT 12/26/2020,Josh Doan,a,
Trade ARI/OTT 12/26/2020,Derek Stepan,a,
Trade ARI/OTT 3/1/2023,Jakob Chychrun,a,
Trade ARI/OTT 3/1/2023,Daniil But,a,
Trade ARI/OTT 3/1/2023,Mikhail Yegorov,a,
Trade ARI/OTT 3/1/2023,2026 2nd Round (ARI/OTT),z,
Trade ARI/PHI 6/21/2019,Egor Afanasyev,a,
Trade ARI/PHI 6/21/2019,Cam York,a,
Trade ARI/PHI 6/21/2019,Victor Soderstrom,x,
Trade ARI/PHI 6/24/2017,Isaac Ratcliffe,a,
Trade ARI/PHI 6/24/2017,Noel Hoefenmayer,a,
Trade ARI/PHI 6/24/2017,Filip Westerlund,A,
Trade ARI/PHI 6/24/2017,Nate Schnarr,x,
Trade ARI/PHI 7/22/2021,Shayne Gostisbehere,a,
Trade ARI/PHI 7/22/2021,Miguel Tourigny,a,
Trade ARI/PHI 7/22/2021,Artem Duda,a,
Trade ARI/PIT 6/22/2019,Nathan Legare,x,
Trade ARI/PIT 6/22/2019,Matias Maccelli,x,
Trade ARI/PIT 6/22/2019,Aku Raty,x,
Trade ARI/PIT 6/22/2019,Valentin Nussbaumer,x,
Trade ARI/PIT 6/29/2019,PO Joseph,a,
Trade ARI/PIT 6/29/2019,Phil Kessel,a,
Trade ARI/PIT 6/29/2019,Alex Galchenyuk,x,
Trade ARI/PIT 6/29/2019,Rasmus Korhonen,a,
Trade ARI/PIT 6/29/2019,Dane Birks,a,
Trade ARI/SJS 7/17/2021,Adin Hill,a,
Trade ARI/SJS 7/17/2021,Josef Korenar,a,
Trade ARI/SJS 7/17/2021,Eli Barnett,a,
Trade ARI/SJS 7/17/2021,Julian Lutz,a,
Trade ARI/SJS 7/7/2022,Conor Geekie,a,
Trade ARI/SJS 7/7/2022,Cameron Lund,a,
Trade ARI/SJS 7/7/2022,Mattias Havelid,a,
Trade ARI/SJS 7/7/2022,Filip Bystedt,a,
Trade ARI/TBL 3/8/2024,Mathew Dumba,a,
Trade ARI/TBL 3/8/2024,Roman Luttsev,a,
Trade ARI/TBL 3/8/2024,2027 5th Round (ARI/TBL),a,
Trade ARI/TBL 6/25/2016,Anthony DeAngelo,a,
Trade ARI/TBL 6/25/2016,Libor Hajek,a,
Trade ARI/TOR 11/23/2022,Conor Timmins,a,
Trade ARI/TOR 11/23/2022,Curtis Douglas,a,
Trade ARI/TOR 2/19/2022,Ilya Lyubushkin,a,
Trade ARI/TOR 2/19/2022,Ryan Dzingel,a,
Trade ARI/TOR 2/19/2022,Nick Ritchie,a,
Trade ARI/TOR 2/19/2022,Matthew Gard,a,
Trade ARI/VGK 2/22/2023,Shea Weber,x,
Trade ARI/VGK 2/22/2023,Dysin Mayo,a,
Trade ARI/VGK 2/22/2023,Justin Kipkie,a,
Trade ATL/CHI 6/24/2010,Justin Holl,a,
Trade ATL/CHI 6/24/2010,Kevin Hayes,a,
Trade ATL/CHI 6/24/2010,Marty Reasoner,a,
Trade ATL/CHI 6/24/2010,Ben Eager,a,
Trade ATL/CHI 6/24/2010,Dustin Byfuglien,a,
Trade ATL/CHI 6/24/2010,Joey Crabb,a,
Trade ATL/CHI 6/24/2010,Jeremy Morin,a,
Trade ATL/CHI 6/24/2010,Brent Sopel,a,
Trade ATL/CHI 6/24/2010,Akim Aliu,a,
Trade ATL/OTT 8/23/2005,Dany Heatley,a,
Trade ATL/OTT 8/23/2005,Marian Hossa,x,
Trade ATL/OTT 8/23/2005,Greg DeVries,a,
Trade ATL/PIT 6/22/2007,Robert Bortuzzo,a,
Trade ATL/PIT 6/22/2007,Chris Thorburn,x,
Trade BOS/ANA 2/24/2020,Danton Heinen,a,
Trade BOS/ANA 2/24/2020,Nick Ritchie,a,
Trade BOS/BUF 3/7/2025,Henri Jokiharju,a,
Trade BOS/BUF 3/7/2025,2026 4th Round (BOS/BUF),a,
Trade BOS/CGY 2/10/2007,TJ Brodie,a,
Trade BOS/CGY 2/10/2007,Wayne Primeau,x,
Trade BOS/CGY 2/10/2007,Andrew Ference,a,
Trade BOS/CGY 2/10/2007,Brad Stuart,a,
Trade BOS/CGY 2/10/2007,Chuck Kobasew,a,
Trade BOS/CGY 6/26/2015,Zach Senyshyn,a,
Trade BOS/CGY 6/26/2015,Jeremy Lauzon,a,
Trade BOS/CGY 6/26/2015,Dougie Hamilton,a,
Trade BOS/CGY 6/26/2015,Jakob Forsbacka Karlsson,a,
Trade BOS/CGY 7/28/2021,Dan Vladar,a,
Trade BOS/CGY 7/28/2021,Ben MacDonald,a,
Trade BOS/CHI 6/13/2025,Victor Soderstrom,x,
Trade BOS/CHI 6/13/2025,Ryan Mast,x,
Trade BOS/CHI 6/13/2025,Brendan Dunphy,a,
Trade BOS/COL 3/2/2015,Oskar Steen,x,
Trade BOS/COL 3/2/2015,Paul Carey,a,
Trade BOS/COL 3/2/2015,Max Talbot,a,
Trade BOS/COL 3/2/2015,Jordan Caron,a,
Trade BOS/DAL 4/2/2013,Jason Dickinson,x,
Trade BOS/DAL 4/2/2013,Jaromir Jagr,x,
Trade BOS/DAL 4/2/2013,Lane MacDermid,a,
Trade BOS/DAL 4/2/2013,Cody Payne,a,
Trade BOS/DAL 7/4/2013,Tyler Seguin,a,
Trade BOS/DAL 7/4/2013,Reilly Smith,a,
Trade BOS/DAL 7/4/2013,Ryan Button,a,
Trade BOS/DAL 7/4/2013,Rich Peverley,a,
Trade BOS/DAL 7/4/2013,Loui Eriksson,a,
Trade BOS/DAL 7/4/2013,Joe Morrow,a,
Trade BOS/DAL 7/4/2013,Matt Fraser,a,
Trade BOS/EDM 7/1/2025,Viktor Arvidsson,a,
Trade BOS/EDM 7/1/2025,2027 5th Round (BOS/EDM),a,
Trade BOS/FLA 2/22/2018,Frank Vatrano,x,
Trade BOS/FLA 2/22/2018,Jakub Lauko,a,
Trade BOS/FLA 3/3/2010,Alexander Petrovic,a,
Trade BOS/FLA 3/3/2010,Matt Bartkowski,a,
Trade BOS/FLA 3/3/2010,Dennis Seidenberg,a,
Trade BOS/FLA 3/3/2010,Craig Weller,a,
Trade BOS/FLA 3/3/2010,Byron Bitz,a,
Trade BOS/FLA 3/7/2025,Brad Marchand,x,
Trade BOS/FLA 3/7/2025,2027/2028 1st Round (BOS/FLA),x,
Trade BOS/FLA 6/22/2010,Derek Forbort,a,
Trade BOS/FLA 6/22/2010,Kyle Rau,a,
Trade BOS/FLA 6/22/2010,Dennis Wideman,a,
Trade BOS/FLA 6/22/2010,Gregory Campbell,a,
Trade BOS/FLA 6/22/2010,Nathan Horton,a,
Trade BOS/FLA 7/1/2015,Reilly Smith,a,
Trade BOS/FLA 7/1/2015,Jimmy Hayes,a,
Trade BOS/FLA 7/1/2015,Marc Savard,a,
Trade BOS/LAK 6/25/2015,Colin Miller,a,
Trade BOS/LAK 6/25/2015,Martin Jones,a,
Trade BOS/LAK 6/25/2015,Jakub Zboril,a,
Trade BOS/LAK 6/25/2015,Milan Lucic,a,
Trade BOS/MIN 6/29/2024,Vinni Lettieri,x,
Trade BOS/MIN 6/29/2024,Elliott Groenewold,a,
Trade BOS/MIN 6/29/2024,Jakub Lauko,a,
Trade BOS/MIN 6/29/2024,Aron Kiviharju,a,
Trade BOS/NJD 2/25/2019,Nikita Okhotiuk,a,
Trade BOS/NJD 2/25/2019,Marcus Johansson,a,
Trade BOS/NJD 2/25/2019,Ethan Edwards,a,
Trade BOS/NJD 2/29/2016,Mario Ferraro,a,
Trade BOS/NJD 2/29/2016,Evan Cormier,a,
Trade BOS/NJD 2/29/2016,Lee Stempniak,a,
Trade BOS/NJD 3/7/2025,Marc McLaughlin,x,
Trade BOS/NJD 3/7/2025,Daniil Misyul,a,
Trade BOS/NJD 6/26/2023,Shane Bowers,a,
Trade BOS/NJD 6/26/2023,Reilly Walsh,a,
Trade BOS/NYI 6/24/2006,Brad Marchand,x,
Trade BOS/NYI 6/24/2006,Shane Sims,a,
Trade BOS/NYI 6/24/2006,James DeLory,a,
Trade BOS/NYR 2/25/2018,Ryan Lindgren,a,
Trade BOS/NYR 2/25/2018,Jacob Bernard-Docker,x,
Trade BOS/NYR 2/25/2018,Ryan Spooner,a,
Trade BOS/NYR 2/25/2018,Rick Nash,a,
Trade BOS/NYR 2/25/2018,Massimo Rizzo,a,
Trade BOS/NYR 2/25/2018,Matt Beleskey,a,
Trade BOS/OTT 3/21/2022,Jackson Edward,x,
Trade BOS/OTT 3/21/2022,Zach Senyshyn,a,
Trade BOS/OTT 3/21/2022,Joshua Brown,a,
Trade BOS/OTT 3/21/2022,Kevin Reidler,a,
Trade BOS/SEA 7/8/2022,Frederic Brunet,x,
Trade BOS/SEA 7/8/2022,Ben MacDonald,a,
Trade BOS/SEA 7/8/2022,Cole Spicer,x,
Trade BOS/SJS 6/30/2015,Trent Frederic,x,
Trade BOS/SJS 6/30/2015,Sean Kuraly,x,
Trade BOS/SJS 6/30/2015,Martin Jones,a,
Trade BOS/STL 4/3/2013,Sammy Blais,a,
Trade BOS/STL 4/3/2013,Wade Redden,a,
Trade BOS/TBL 3/1/2015,Boris Katchouk,x,
Trade BOS/TBL 3/1/2015,Brett Connolly,a,
Trade BOS/TBL 3/1/2015,Matt Spencer,a,
Trade BOS/TBL 3/4/2009,Alexander Petrovic,a,
Trade BOS/TBL 3/4/2009,Mark Recchi,a,
Trade BOS/TBL 3/4/2009,Matt Lashoff,a,
Trade BOS/TBL 3/4/2009,Martins Karsums,a,
Trade BOS/TBL 6/28/2025,2026 4th Round BOS/TBL,x,
Trade BOS/TBL 6/28/2025,Benjamin Rautiainen,x,
Trade BOS/TOR 2/18/2011,Rickard Rakell,a,
Trade BOS/TOR 2/18/2011,Tomas Kaberle,a,
Trade BOS/TOR 2/18/2011,Joe Colborne,a,
Trade BOS/TOR 2/18/2011,Mike Winther,a,
Trade BOS/TOR 3/7/2025,Brandon Carlo,x,
Trade BOS/TOR 3/7/2025,Fraser Minten,a,
Trade BOS/TOR 3/7/2025,Vashek Blanar,a,
Trade BOS/TOR 3/7/2025,2026/2027 1st Round (BOS/TOR),x,
Trade BOS/TOR 9/18/2009,Tyler Seguin,a,
Trade BOS/TOR 9/18/2009,Dougie Hamilton,a,
Trade BOS/TOR 9/18/2009,Phil Kessel,a,
Trade BOS/TOR 9/18/2009,Jared Knight,a,
Trade BOS/WPG 3/1/2017,Declan Chisholm,a,
Trade BOS/WPG 3/1/2017,Drew Stafford,a,
Trade BOS/WSH/MIN 2/23/2023,Dmitry Orlov,a,
Trade BOS/WSH/MIN 2/23/2023,Craig Smith,a,
Trade BOS/WSH/MIN 2/23/2023,Garnet Hathaway,a,
Trade BOS/WSH/MIN 2/23/2023,Melvin Strahl,a,
Trade BOS/WSH/MIN 2/23/2023,Easton Cowan,a,
Trade BOS/WSH/MIN 2/23/2023,Milton Gastrin,a,
Trade BUF/ARI 6/14/2018,Hudson Fasching,a,
Trade BUF/ARI 6/14/2018,Mike Sislo,a,
Trade BUF/ARI 6/14/2018,Brandon Hickey,a,
Trade BUF/BOS 4/12/2021,Taylor Hall,x,
Trade BUF/BOS 4/12/2021,Curtis Lazar,a,
Trade BUF/BOS 4/12/2021,Anders Bjork,a,
Trade BUF/BOS 4/12/2021,Aleksandr Kisakov,a,
Trade BUF/CGY 6/22/2021,Mark Jankowski,a,
Trade BUF/CGY 6/22/2021,Zemgus Girgensons,a,
Trade BUF/CGY 6/22/2021,Patrick Sieloff,a,
Trade BUF/CHI 7/9/2019,Henri Jokiharju,a,
Trade BUF/CHI 7/9/2019,Alexander Nylander,a,
Trade BUF/COL 3/20/2021,Jonas Johansson b.1995,a,
Trade BUF/COL 3/20/2021,Nikita Novikov,a,
Trade BUF/COL 3/6/2024,Bowen Byram,a,
Trade BUF/COL 3/6/2024,Casey Mittelstadt,a,
Trade BUF/DAL 2/11/2015,Casey Fitzgerald,a,
Trade BUF/DAL 2/11/2015,Jhonas Enroth,a,
Trade BUF/DAL 2/11/2015,Anders Lindback,a,
Trade BUF/EDM 7/5/2024,Ryan McLeod,a,
Trade BUF/EDM 7/5/2024,Matthew Savoie,a,
Trade BUF/EDM 7/5/2024,Tyler Tullio,x,
Trade BUF/FLA 4/10/2021,Stiven Saradarian,a,
Trade BUF/FLA 4/10/2021,Brandon Montour,a,
Trade BUF/FLA 6/25/2016,Rasmus Asplund,a,
Trade BUF/FLA 6/25/2016,Dmitry Kulikov,a,
Trade BUF/FLA 6/25/2016,Mark Pysyk,a,
Trade BUF/FLA 6/25/2016,Adam Mascherin (1),a,
Trade BUF/FLA 6/25/2016,Linus Nassen,a,
Trade BUF/FLA 7/24/2021,Jiri Kulich,a,
Trade BUF/FLA 7/24/2021,Devon Levi,a,
Trade BUF/FLA 7/24/2021,Sam Reinhart,a,
Trade BUF/LAK 3/1/2023,Gavin McCarthy,a,
Trade BUF/LAK 3/1/2023,Erik Portillo,a,
Trade BUF/LAK 6/21/2008,Andrew Campbell,x,
Trade BUF/LAK 6/21/2008,Corey Fienhage,a,
Trade BUF/LAK 6/21/2008,Justin Jokinen,a,
Trade BUF/MIN 4/3/2013,Nikita Zadorov,x,
Trade BUF/MIN 4/3/2013,William Lagesson,a,
Trade BUF/MIN 4/3/2013,Johan Larsson,a,
Trade BUF/MIN 4/3/2013,Jason Pominville,a,
Trade BUF/MIN 4/3/2013,Matt Hackett,a,
Trade BUF/MIN 4/3/2013,Vaclav Karabacek,a,
Trade BUF/MIN 9/16/2020,Marcus Johansson,a,
Trade BUF/MIN 9/16/2020,Eric Staal,a,
Trade BUF/MTL 10/4/2017,Nicolas Deslauriers,a,
Trade BUF/MTL 10/4/2017,Zach Redmond,a,
Trade BUF/NSH 2/27/2012,Juuse Saros,a,
Trade BUF/NSH 2/27/2012,Mark Jankowski,a,
Trade BUF/NSH 2/27/2012,Paul Gaustad,a,
Trade BUF/NSH 6/20/2016,Rem Pitlick,x,
Trade BUF/NSH 6/20/2016,Jimmy Vesey,x,
Trade BUF/NYR 3/7/2025,Nicolas Aube-Kubel,a,
Trade BUF/NYR 3/7/2025,Erik Brannstrom,a,
Trade BUF/OTT 3/7/2025,Dylan Cozens,x,
Trade BUF/OTT 3/7/2025,Dennis Gilbert,x,
Trade BUF/OTT 3/7/2025,Jacob Bernard-Docker,x,
Trade BUF/OTT 3/7/2025,Joshua Norris,x,
Trade BUF/OTT 3/7/2025,2026 2nd Round BUF/OTT,x,
Trade BUF/PHI 7/23/2021,Isak Rosen,a,
Trade BUF/PHI 7/23/2021,Rasmus Ristolainen,a,
Trade BUF/PHI 7/23/2021,Robert Hagg,a,
Trade BUF/PHI 7/23/2021,Anton Wahlberg,a,
Trade BUF/PIT 2/24/2020,Evan Rodrigues,a,
Trade BUF/PIT 2/24/2020,Conor Sheary,a,
Trade BUF/PIT 2/24/2020,Dominik Kahun,x,
Trade BUF/PIT 6/27/2018,Conor Sheary,a,
Trade BUF/PIT 6/27/2018,Matias Maccelli,x,
Trade BUF/PIT 6/27/2018,Matt Hunwick,a,
Trade BUF/SJS 10/7/2020,JJ Peterka,a,
Trade BUF/SJS 10/7/2020,Thomas Bordeleau,a,
Trade BUF/SJS 10/7/2020,Carter Savoie,a,
Trade BUF/SJS 2/26/2018,Evander Kane,a,
Trade BUF/SJS 2/26/2018,Brayden Tracey,a,
Trade BUF/SJS 2/26/2018,Danny O'Regan,a,
Trade BUF/SJS 2/26/2018,Ethan Keppen,a,
Trade BUF/SJS 3/8/2024,Devin Cooley,a,
Trade BUF/SJS 3/8/2024,Ryan Rucinski,a,
Trade BUF/SJS 6/27/2024,Konsta Helenius,x,
Trade BUF/SJS 6/27/2024,Sam Dickinson,x,
Trade BUF/SJS 6/27/2024,Adam Kleber,x,
Trade BUF/STL 3/20/1996,Cory Sarich,x,
Trade BUF/STL 3/20/1996,Yuri Khmylev,a,
Trade BUF/STL 3/20/1996,Andrei Podkonicky,a,
Trade BUF/STL 3/20/1996,Jean-Luc Grand-Pierre,a,
Trade BUF/STL 3/20/1996,Maxim Afinogenov,x,
Trade BUF/TBL 3/9/2000,Wayne Primeau,x,
